Rok;Typ zbiornika;Gatunek;Połowy
2010;Ryby morskie;dorszowate  ;16,5
2010;Ryby morskie;śledzie  ;24,7
2010;Ryby morskie;szproty  ;58,8
2010;Ryby morskie;inne morskie;70,7
2010;Ryby słodkowodne;słodkowodne;45,1
2011;Ryby morskie;dorszowate  ;16,9
2011;Ryby morskie;śledzie  ;29,9
2011;Ryby morskie;szproty  ;56,5
2011;Ryby morskie;inne morskie;76,6
2011;Ryby słodkowodne;słodkowodne;48,3
2012;Ryby morskie;dorszowate  ;19,3
2012;Ryby morskie;śledzie  ;27,1
2012;Ryby morskie;szproty  ;63,1
2012;Ryby morskie;inne morskie;70,1
2012;Ryby słodkowodne;słodkowodne;50,4
2013;Ryby morskie;dorszowate  ;19,6
2013;Ryby morskie;śledzie  ;23,6
2013;Ryby morskie;szproty  ;81
2013;Ryby morskie;inne morskie;71,3
2013;Ryby słodkowodne;słodkowodne;49,8
2014;Ryby morskie;dorszowate  ;19,4
2014;Ryby morskie;śledzie  ;28,1
2014;Ryby morskie;szproty  ;58,6
2014;Ryby morskie;inne morskie;64,3
2014;Ryby słodkowodne;słodkowodne;54,8
2015;Ryby morskie;dorszowate  ;20,1
2015;Ryby morskie;śledzie  ;39,7
2015;Ryby morskie;szproty  ;64,2
2015;Ryby morskie;inne morskie;59,8
2015;Ryby słodkowodne;słodkowodne;50,4
2016;Ryby morskie;dorszowate  ;17,9
2016;Ryby morskie;śledzie  ;44,1
2016;Ryby morskie;szproty  ;60,1
2016;Ryby morskie;inne morskie;75
2016;Ryby słodkowodne;słodkowodne;52,3
2017;Ryby morskie;dorszowate  ;27,6
2017;Ryby morskie;śledzie  ;43,7
2017;Ryby morskie;szproty  ;70
2017;Ryby morskie;inne morskie;68,7
2017;Ryby słodkowodne;słodkowodne;53,3
2018;Ryby morskie;dorszowate  ;15,8
2018;Ryby morskie;śledzie  ;52,3
2018;Ryby morskie;szproty  ;74,2
2018;Ryby morskie;inne morskie;54,9
2018;Ryby słodkowodne;słodkowodne;58,5
2019;Ryby morskie;dorszowate  ;42,4
2019;Ryby morskie;śledzie  ;42
2019;Ryby morskie;szproty  ;74,5
2019;Ryby morskie;inne morskie;44,3
2019;Ryby słodkowodne;słodkowodne;59,8
2020;Ryby morskie;dorszowate  ;49,3
2020;Ryby morskie;śledzie  ;38,9
2020;Ryby morskie;szproty  ;60,6
2020;Ryby morskie;inne morskie;43,1
2020;Ryby słodkowodne;słodkowodne;59,4
2021;Ryby morskie;dorszowate  ;29,1
2021;Ryby morskie;śledzie  ;28,6
2021;Ryby morskie;szproty  ;66,6
2021;Ryby morskie;inne morskie;61,6
2021;Ryby słodkowodne;słodkowodne;56,8
